column,in_eua,in_bla,status
BLDV8DT,TRUE,FALSE,only_in_eua
BLDV8FL,TRUE,FALSE,only_in_eua
BLDV9DT,TRUE,FALSE,only_in_eua
BLDV9FL,TRUE,FALSE,only_in_eua
BRTHDT,TRUE,FALSE,only_in_eua
COMPLDT,TRUE,FALSE,only_in_eua
F2MP2CAN,TRUE,FALSE,only_in_eua
F2MP2CAT,TRUE,FALSE,only_in_eua
FU2MPD2,TRUE,FALSE,only_in_eua
STEXCFL,TRUE,FALSE,only_in_eua
UNKRDFL,TRUE,FALSE,only_in_eua
VAX103,TRUE,FALSE,only_in_eua
VAX103DT,TRUE,FALSE,only_in_eua
AGEGR2,FALSE,TRUE,only_in_bla
AGEGR2N,FALSE,TRUE,only_in_bla
AGEGR3,FALSE,TRUE,only_in_bla
AGEGR3N,FALSE,TRUE,only_in_bla
AGEGR4,FALSE,TRUE,only_in_bla
AGEGR4N,FALSE,TRUE,only_in_bla
AGETGR3,FALSE,TRUE,only_in_bla
AGETGR3N,FALSE,TRUE,only_in_bla
AGETR03,FALSE,TRUE,only_in_bla
AGETRU03,FALSE,TRUE,only_in_bla
BDCSRDT,FALSE,TRUE,only_in_bla
BLDV6ADT,FALSE,TRUE,only_in_bla
BRTHDT_2,FALSE,TRUE,only_in_bla
CD4CAT,FALSE,TRUE,only_in_bla
CD4CATN,FALSE,TRUE,only_in_bla
CDECASE,FALSE,TRUE,only_in_bla
DS3KFL,FALSE,TRUE,only_in_bla
EOTXDCDT,FALSE,TRUE,only_in_bla
EOTXDCRS,FALSE,TRUE,only_in_bla
EV1MD2FL,FALSE,TRUE,only_in_bla
EXCL10FL,FALSE,TRUE,only_in_bla
EXCRIT10,FALSE,TRUE,only_in_bla
FPX1CA1N,FALSE,TRUE,only_in_bla
FPX1CAT1,FALSE,TRUE,only_in_bla
FPX1CUT,FALSE,TRUE,only_in_bla
FUNBCUT,FALSE,TRUE,only_in_bla
FUP1CA1N,FALSE,TRUE,only_in_bla
FUP1CAT1,FALSE,TRUE,only_in_bla
FUP1CUT,FALSE,TRUE,only_in_bla
FUP1UNB,FALSE,TRUE,only_in_bla
FUP2CA1N,FALSE,TRUE,only_in_bla
FUP2CA2N,FALSE,TRUE,only_in_bla
FUP2CAT1,FALSE,TRUE,only_in_bla
FUP2CAT2,FALSE,TRUE,only_in_bla
FUP2CUT,FALSE,TRUE,only_in_bla
FUP2UNB,FALSE,TRUE,only_in_bla
HIVFL,FALSE,TRUE,only_in_bla
INCL10FL,FALSE,TRUE,only_in_bla
OBESEFL,FALSE,TRUE,only_in_bla
OPBOUFL,FALSE,TRUE,only_in_bla
PEDIMMFL,FALSE,TRUE,only_in_bla
PEDREAFL,FALSE,TRUE,only_in_bla
RACIALD,FALSE,TRUE,only_in_bla
RACIALDN,FALSE,TRUE,only_in_bla
RAND1FL,FALSE,TRUE,only_in_bla
REACTOFL,FALSE,TRUE,only_in_bla
REVXICDT,FALSE,TRUE,only_in_bla
RNACAT,FALSE,TRUE,only_in_bla
RNACATN,FALSE,TRUE,only_in_bla
RSEXSAF,FALSE,TRUE,only_in_bla
SAF1FL,FALSE,TRUE,only_in_bla
SAF2FL,FALSE,TRUE,only_in_bla
STCSRDT,FALSE,TRUE,only_in_bla
TR02EDT,FALSE,TRUE,only_in_bla
TR02EDTM,FALSE,TRUE,only_in_bla
TR02ETM,FALSE,TRUE,only_in_bla
TR02SDT,FALSE,TRUE,only_in_bla
TR02SDTM,FALSE,TRUE,only_in_bla
TR02STM,FALSE,TRUE,only_in_bla
TRT02A,FALSE,TRUE,only_in_bla
TRT02AN,FALSE,TRUE,only_in_bla
TRT02P,FALSE,TRUE,only_in_bla
TRT02PN,FALSE,TRUE,only_in_bla
TRTSEQA,FALSE,TRUE,only_in_bla
TRTSEQP,FALSE,TRUE,only_in_bla
UNBLNDDT,FALSE,TRUE,only_in_bla
V02OBDT,FALSE,TRUE,only_in_bla
V03DT,FALSE,TRUE,only_in_bla
V04DT,FALSE,TRUE,only_in_bla
V3C19NIG,FALSE,TRUE,only_in_bla
VAX101TM,FALSE,TRUE,only_in_bla
VAX102TM,FALSE,TRUE,only_in_bla
VAX10U,FALSE,TRUE,only_in_bla
VAX10UDT,FALSE,TRUE,only_in_bla
VAX10UTM,FALSE,TRUE,only_in_bla
VAX201,FALSE,TRUE,only_in_bla
VAX201DT,FALSE,TRUE,only_in_bla
VAX201TM,FALSE,TRUE,only_in_bla
VAX202,FALSE,TRUE,only_in_bla
VAX202DT,FALSE,TRUE,only_in_bla
VAX202TM,FALSE,TRUE,only_in_bla
VAX20U,FALSE,TRUE,only_in_bla
VAX20UDT,FALSE,TRUE,only_in_bla
VAX20UTM,FALSE,TRUE,only_in_bla
X1CSRDT,FALSE,TRUE,only_in_bla
AAI01FL,TRUE,TRUE,common
AAI02FL,TRUE,TRUE,common
AAI1EFFL,TRUE,TRUE,common
AAI2EFFL,TRUE,TRUE,common
ACTARM,TRUE,TRUE,common
ACTARMCD,TRUE,TRUE,common
AGE,TRUE,TRUE,common
AGEGR1,TRUE,TRUE,common
AGEGR1N,TRUE,TRUE,common
AGETR01,TRUE,TRUE,common
AGETRU01,TRUE,TRUE,common
AGEU,TRUE,TRUE,common
ARACE,TRUE,TRUE,common
ARACEN,TRUE,TRUE,common
ARM,TRUE,TRUE,common
ARMCD,TRUE,TRUE,common
BLDV1DT,TRUE,TRUE,common
BLDV1FL,TRUE,TRUE,common
BLDV2DT,TRUE,TRUE,common
BLDV2FL,TRUE,TRUE,common
BLDV3ADT,TRUE,TRUE,common
BLDV3DT,TRUE,TRUE,common
BLDV3FL,TRUE,TRUE,common
BLDV4ADT,TRUE,TRUE,common
BLDV4DT,TRUE,TRUE,common
BLDV4FL,TRUE,TRUE,common
BLDV5ADT,TRUE,TRUE,common
BLDV5DT,TRUE,TRUE,common
BLDV5FL,TRUE,TRUE,common
BLDV6DT,TRUE,TRUE,common
BLDV6FL,TRUE,TRUE,common
BLDV7DT,TRUE,TRUE,common
BLDV7FL,TRUE,TRUE,common
BMICAT,TRUE,TRUE,common
BMICATN,TRUE,TRUE,common
BRTHDTF,TRUE,TRUE,common
COHORT,TRUE,TRUE,common
COHORTN,TRUE,TRUE,common
COMBODFL,TRUE,TRUE,common
COUNTRY,TRUE,TRUE,common
COVBLST,TRUE,TRUE,common
DOSALVL,TRUE,TRUE,common
DOSALVLN,TRUE,TRUE,common
DOSPLVL,TRUE,TRUE,common
DOSPLVLN,TRUE,TRUE,common
DS30KFL,TRUE,TRUE,common
DTHDT,TRUE,TRUE,common
DTHDTC,TRUE,TRUE,common
DTHDTF,TRUE,TRUE,common
DTHFL,TRUE,TRUE,common
DVSTDT,TRUE,TRUE,common
ENRLFL,TRUE,TRUE,common
EOSDCDT,TRUE,TRUE,common
EOSDCRS,TRUE,TRUE,common
EOTDCDT,TRUE,TRUE,common
EOTDCRS,TRUE,TRUE,common
ETHNIC,TRUE,TRUE,common
ETHNICN,TRUE,TRUE,common
EVAL01FL,TRUE,TRUE,common
EVAL02FL,TRUE,TRUE,common
EVALEFFL,TRUE,TRUE,common
EXCL1FL,TRUE,TRUE,common
EXCL2FL,TRUE,TRUE,common
EXCL3FL,TRUE,TRUE,common
EXCL4FL,TRUE,TRUE,common
EXCL5FL,TRUE,TRUE,common
EXCL6FL,TRUE,TRUE,common
EXCL7FL,TRUE,TRUE,common
EXCL8FL,TRUE,TRUE,common
EXCL9FL,TRUE,TRUE,common
EXCRIT1,TRUE,TRUE,common
EXCRIT2,TRUE,TRUE,common
EXCRIT3,TRUE,TRUE,common
EXCRIT4,TRUE,TRUE,common
EXCRIT5,TRUE,TRUE,common
EXCRIT6,TRUE,TRUE,common
EXCRIT7,TRUE,TRUE,common
EXCRIT8,TRUE,TRUE,common
EXCRIT9,TRUE,TRUE,common
INCL1FL,TRUE,TRUE,common
INCL2FL,TRUE,TRUE,common
INCL3FL,TRUE,TRUE,common
INCL4FL,TRUE,TRUE,common
INCL5FL,TRUE,TRUE,common
INCL6FL,TRUE,TRUE,common
INCL7FL,TRUE,TRUE,common
INCL8FL,TRUE,TRUE,common
INCL9FL,TRUE,TRUE,common
INVID,TRUE,TRUE,common
INVNAM,TRUE,TRUE,common
JPNFL,TRUE,TRUE,common
MULENRFL,TRUE,TRUE,common
NAATNFL,TRUE,TRUE,common
NIGV1FL,TRUE,TRUE,common
PHASE,TRUE,TRUE,common
PHASEN,TRUE,TRUE,common
RACE,TRUE,TRUE,common
RACEGR1,TRUE,TRUE,common
RACEGR1N,TRUE,TRUE,common
RACEN,TRUE,TRUE,common
RANDDT,TRUE,TRUE,common
RANDFL,TRUE,TRUE,common
RANDNO,TRUE,TRUE,common
RFENDT,TRUE,TRUE,common
RFENTM,TRUE,TRUE,common
RFICDT,TRUE,TRUE,common
RFPENDT,TRUE,TRUE,common
RFSTDT,TRUE,TRUE,common
RFSTTM,TRUE,TRUE,common
SAFFL,TRUE,TRUE,common
SCREEN,TRUE,TRUE,common
SEX,TRUE,TRUE,common
SEXN,TRUE,TRUE,common
SITEID,TRUE,TRUE,common
STUDYID,TRUE,TRUE,common
SUBJID,TRUE,TRUE,common
TR01EDT,TRUE,TRUE,common
TR01EDTM,TRUE,TRUE,common
TR01ETM,TRUE,TRUE,common
TR01SDT,TRUE,TRUE,common
TR01SDTM,TRUE,TRUE,common
TR01STM,TRUE,TRUE,common
TRT01A,TRUE,TRUE,common
TRT01AN,TRUE,TRUE,common
TRT01P,TRUE,TRUE,common
TRT01PN,TRUE,TRUE,common
TRTEDT,TRUE,TRUE,common
TRTEDTM,TRUE,TRUE,common
TRTETM,TRUE,TRUE,common
TRTSDT,TRUE,TRUE,common
TRTSDTM,TRUE,TRUE,common
TRTSTM,TRUE,TRUE,common
USUBJID,TRUE,TRUE,common
V01DT,TRUE,TRUE,common
V02DT,TRUE,TRUE,common
VAX101,TRUE,TRUE,common
VAX101DT,TRUE,TRUE,common
VAX102,TRUE,TRUE,common
VAX102DT,TRUE,TRUE,common
